study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
Ali et al (2023),counter,,Their findings conclude that there are incremental economic benefits associated with environmental capital expenditure investment by low-polluting firms but not high-polluting firms.,3427,,"cited Clarkson: benefit conditional on pollution intensity, absent for high polluters"
Ali et al (2023),counter,,"paid less attention to their environmental performance. Similarly, the banks might pay less attention to their borrowers' environmental ini-",3428,,crisis attenuation: in COVID shock lenders may discount environmental initiatives
Ali et al (2023),paris_policy,,"introduction of SDGs, or the ratification of international treaties on climate change, especially the Kyoto Protocol treaty.",3427,,climate-policy events as rival external driver of the CER-COD link
Ali et al (2023),key_citation,,"usefulness (Godfrey et al., 1996) and stakeholder-agency (Hill &",3425,"Godfrey et al., 1996","decision-usefulness theory anchor, carried through hypothesis and conclusion"
Ali et al (2023),key_citation,,"Jones, 1992), who make a firm a going concern (Nadeem, 2021b).",3420,"Hill & Jones, 1992",stakeholder-agency theory anchor defining the firm's stakeholder set
Ali et al (2023),key_citation,,"agency, stakeholder, legitimacy and institutional theories. Among different theoretical explanations, Levitt (1958) expressed his concerns about corporations' engagement with CSR practices and argued that",3419,Levitt (1958),shareholder-primacy/cost-burden counter anchor opening the theory section
Ali et al (2023),status,,,,,"Business Strategy and the Environment research article; two-column dump is column-interleaved, so contiguous spans are short on theory pages."
Ali et al (2026),frame_use,RISK,"We argue that a firm's carbon risk increases default risk by amplifying uncertainty in present and future cash flows. Carbon-­ intensive activities expose firms to regulatory, reputational, and transition risks, which can adversely affect firm value, competitive positioning, and expected cash flows",pdf-2,,authors' own risk frame: carbon raises default risk via cash-flow uncertainty
Ali et al (2026),frame_use,AGENCY,"Agency theory provides a useful framework for explaining why carbon-­intensive firms may face higher borrowing costs. In the presence of separation between managers and capital providers, managers may not fully internalize the long-­term financial consequences of carbon-­related risks",pdf-4,,agency frame: manager-creditor conflict over carbon mitigation horizon
Ali et al (2026),frame_use,SIG,"The argument is further strengthened by the information asymmetry perspective. Carbon-­intensive firms often face greater opacity regarding the magnitude of their transition risk, the quality of their emissions reporting, and the credibility of their mitigation strategies.",pdf-4,,information-asymmetry frame: opacity of transition risk and emissions reporting
Ali et al (2026),frame_use,STAKE,"From a stakeholder theory perspective, carbon emissions signal misalignment with broader social and environmental expectations",pdf-5,,stakeholder/legitimacy frame; authors' own framing of H1
Ali et al (2026),mechanism_extra,,"Therefore, lenders incorporate carbon-­related risk into their credit assessments and may adjust loan contract terms, including collateral requirements, maturity structure, and debt pricing.",pdf-2,,"non-price contract channel: collateral and maturity, not only spread"
Ali et al (2026),mechanism_extra,,"Carbon-­intensive corporations may face higher financing costs if banks restrict lending, and institutional investors may shun such firms due to climate-­related capital requirements and a general trend toward sustainable investing in financial markets",pdf-4,,credit-rationing and investor-base exclusion channel; cited claim
Ali et al (2026),counter,,"Building on the efficiency hypothesis and the empirical evidence above, board gender diversity may also moderate the carbon risk–cost of debt relationship by reducing both agency conflicts and information asymmetry.",pdf-6,,conditionality: governance moderator attenuates carbon risk premium
Ali et al (2026),paris_policy,,"This time frame is particularly relevant, as it follows the increasing global emphasis on climate-­related regulation and sustainability reporting in the post-­Paris Agreement era, which has encouraged firms to incorporate environmental risk into financial and strategic decision-­making",pdf-6,,post-Paris regulatory emphasis pushes environmental risk into financial decisions
Ali et al (2026),key_citation,,"Carbon risk can be broadly defined as corporate exposure to financial, regulatory, and reputational risks arising from climate change and carbon-­intensive activities, particularly those linked to greenhouse gas emissions and fossil fuel dependence (Jung et al. 2018; Bolton and Kacperczyk 2021)",pdf-1,Jung et al. 2018,carbon-risk construct anchor used throughout hypothesis development
Ali et al (2026),key_citation,,"In this setting, creditors demand compensation for the higher expected agency costs and default risk through higher debt pricing (Jensen and Meckling 1976; Goss and Roberts 2011; Jung et al. 2018)",pdf-4,Jensen and Meckling 1976,agency-theory anchor for creditor pricing of carbon risk
Ali et al (2026),key_citation,,thereby undermining firm legitimacy and increasing financing frictions (Freeman 1984; Chapple et al. 2013; Matsumura et al. 2014),pdf-5,Freeman 1984,stakeholder-theory anchor behind legitimacy channel
Ali et al (2026),status,,,,,"Corporate Social Responsibility and Environmental Management research article (Europe/US panel); theory is agency + information-asymmetry + stakeholder, with board gender diversity as moderator; no printed folios, so pages are pdf-N; PDF dump has interleaved columns and long table blocks."
Almutairi (2026),frame_use,AGENCY,"From an agency theory perspective, managers may have incentives to withhold or selectively disclose climate-related information, which increases agency conflicts and information risk perceived by creditors.",4,,agency: selective climate disclosure raises creditors' information risk
Almutairi (2026),frame_use,SIG,"From an information asymmetry perspective, greater climate disclosure reduces uncertainty about firms’ environmental risks and future cash flows, thereby lowering perceived credit risk and, consequently, the cost of debt.",4,,author's core information-asymmetry mechanism; disclosure lowers COD
Almutairi (2026),frame_use,STAKE,"according to legitimacy theory, companies strive to comply with the political and economic pressures of society, which compel them to make sustainable disclosures that meet the demands of the society in which they operate",4,,legitimacy: societal pressure drives sustainability disclosure
Almutairi (2026),frame_use,OTHER:institutional,"In addition, institutional theory suggests that firms respond to regulatory pressures and societal expectations by",4,,institutional theory named; sentence continues onto next page
Almutairi (2026),mechanism_extra,,"prior studies indicate that environmental regulatory pressure enhances both firms’ environmental awareness and creditors’ sensitivity to environmental risks, ultimately leading to stricter financing conditions",5,,"regulation channel: raises lender sensitivity, tightens credit; cited finding"
Almutairi (2026),counter,,"lenders may discount the credibility of disclosure in politically connected firms or, alternatively, rely more on political backing than on disclosed information",6,,political backing substitutes for / discredits disclosure; author's argument
Almutairi (2026),counter,,"voluntary disclosure provides additional insights but may raise concerns about credibility and potential greenwashing (Boccaletti & Gucciardi, 2025; Kacanski, 2025). This distinction suggests that ESG disclosure does not have a uniform effect; rather, its impact depends on its quality, credibility, and scope.",6,,greenwashing/credibility caveat; effect conditional on disclosure quality
Almutairi (2026),paris_policy,,"guidelines for climate change disclosure, aligned with international frameworks such as TCFD. Policymakers should move beyond voluntary disclosure and advocate for the use of more standardized and possibly mandatory reporting frameworks to support transparency and reduce information asymmetry.",16,,climate-disclosure policy claim: mandatory TCFD-aligned regime cuts information asymmetry
Almutairi (2026),key_citation,,"According to agency theory, management tends to withhold information while simultaneously trying to reduce agency costs (Khelil, 2025).",3,"Khelil, 2025",agency-theory anchor for managerial information withholding
Almutairi (2026),key_citation,,"Signaling theory explains the role of the informational message conveyed by accounting disclosures in sending signals to stakeholders (Arifin et al., 2020).",3,"Arifin et al., 2020",signaling-theory anchor for disclosure as signal
Almutairi (2026),key_citation,,"These pressures collectively shape firms’ disclosure practices and push them toward greater transparency in climate-related reporting (Malik & Kashiramka, 2024).",4,"Malik & Kashiramka, 2024",legitimacy/institutional anchor; informal pressures drive climate reporting
Almutairi (2026),status,,,,,Int. J. Financial Stud. (MDPI) empirical paper on Egyptian listed firms; agency/signaling/legitimacy plus institutional framing; no Paris Agreement content.
Altavilla et al (2024),frame_use,RISK,"banks should care about their clients’ exposure to climate risk only insofar as this affects their default risk: for instance, a bank lending to an oil company should take into account the risk that carbon taxes or environmental regulations may end up forcing the company into default",5,,author's own: transition/regulatory risk priced only via borrower default risk
Altavilla et al (2024),frame_use,STAKE,"banks may internalize social concerns about climate risk for reputational reasons, in response to pressure from the media, depositors and activist shareholders",5,,author's own: reputational/stakeholder pressure channel beyond default risk
Altavilla et al (2024),frame_use,SIG,Disclosing an emission target appears to be a mechanism enabling high-emission firms to signal their plan to reduce their carbon footprint,14,,"author's own: target disclosure as forward-looking signal, lowers rate"
Altavilla et al (2024),frame_use,OTHER:risk-taking channel,"our approach is based on an extended version of the risk-taking channel of monetary policy, where changes in monetary policy should also affect banks’ pricing of climate risk: restrictive monetary policy should induce banks to penalize high-emission more than comparable low-emission firms",12,,"author's own: named theory, monetary stance moderates carbon premium"
Altavilla et al (2024),counter,,"media attention and investors’ activism may be less successful in affecting banks’ environmental record than that of mutual or pension funds, because banks’ loan portfolios are typically far more opaque than the securities portfolios of institutional investors",5,,author's own: loan-portfolio opacity weakens bank climate pricing vs markets
Altavilla et al (2024),counter,,"banks may be more inclined to restrict lending to firms with innovative, lesser known low-carbon technologies than to firms with traditional carbonintensive technologies. Moreover, the intangible nature of innovation makes the projects of the former harder to collateralize than those of the latter",6,,author's own: intangibility/collateral logic predicts opposite sign for green firms
Altavilla et al (2024),mechanism_extra,,"the effect of monetary policy shocks on interest rates charged to more polluting firms should be mitigated if these credibly commit to investments aimed to reduce their carbon footprint, as this would reduce their future exposure to climate risk",12,,"author's own: credible abatement commitment cuts future climate exposure, dampens premium"
Altavilla et al (2024),paris_policy,,"European banks reduced credit to U.S. polluting firms after President Trump’s announcement of withdrawal from the Paris Agreement, possibly for reputational reasons, in response to strong public pressure in favor of environmental policies",10,,"cited finding: Paris withdrawal amplified reputational credit tightening, limits regulatory arbitrage"
Altavilla et al (2024),key_citation,,"Acharya and Naqvi (2012) propose a model where banks elicit effort from loan officers by tying their compensation to the volume of loans: in the presence of abundant liquidity, volume-based compensation induces greater risk taking",11,Acharya and Naqvi (2012),"risk-taking channel anchor, extended to climate risk"
Altavilla et al (2024),key_citation,,"Dell’Ariccia, Laeven, and Marquez (2014) propose a model where banks can reduce the credit risk of their loan portfolio via costly monitoring",11,"Dell’Ariccia, Laeven, and Marquez (2014)",monitoring/leverage model underpinning the extended risk-taking channel
Altavilla et al (2024),key_citation,,"Ehlers, Packer, and De Greiff (2022) instead find that, following the 2015 Paris Agreement, polluting firms started paying a “carbon premium” on their syndicated loans.",9,"Ehlers, Packer, and De Greiff (2022)","carbon-premium-in-loans benchmark, repeatedly used to frame results"
Altavilla et al (2024),status,,,,,"ECB Working Paper 2969; empirical euro-area credit-register study; theory confined to intro and literature section, centred on an extended risk-taking channel of monetary policy."
Apergis et al (2022),frame_use,RISK,"The conceptual framework is based on the view that high ESG scores that reflect high level of ESG practices relate positively to the solvency of a firm. Firms with high ESG scores can control more effectively a significant part of environmental, social, legal, reputational, operational, and regulatory risks.",2,,"authors' own risk-mitigation frame: ESG practices raise solvency, control regulatory risk"
Apergis et al (2022),frame_use,STAKE,A downgrade in key stakeholder relationships can affect the value of the firm and increase its default risk.,2,,stakeholder/reputation channel: relationship damage raises default risk
Apergis et al (2022),mechanism_extra,,"Such liabilities increase the default risk of borrowers, and they may also rank higher to the claims of the debt holders. Furthermore, if these liabilities turn out to pose a significant risk to the firm's financial health, management may resort to a strategic bankruptcy in an attempt to avoid them.",2,,claim-priority channel: ESG liabilities may outrank bondholders; strategic bankruptcy
Apergis et al (2022),mechanism_extra,,"In financing firms with poor ESG practices, banks are becoming increas­ ingly cautious not only of the associated reputational and credit risk but also the risk to find themselves liable to environmental obligations (Balkenborg, 2001; Kroszner and Strahan, 2001).",3,,lender-liability channel: banks fear own environmental obligations
Apergis et al (2022),mechanism_extra,,"Large scale projects (like off-shore oil rings) and major fossil fuel deposits are at risk of losing market value due to unanticipated breakthroughs in renewable technology and governments stepping up climate policies (Van der Ploeg and Rezai, 2019).",2,,stranded-asset/collateral logic driven by climate policy tightening
Apergis et al (2022),paris_policy,,"Tightening international regulation, increased ESG coverage in media, public pressure on US policy makers and recent US's decision to reinstate the Paris Agreement will eventually lead the US's states and federal government to stricter regulation and criminal and civil pen­ alties for violations.",3,,Paris reinstatement seen as precursor to stricter US rules and penalties
Apergis et al (2022),counter,,"However, E pillar metrics may not be able to capture the full spectrum of related risks. E scores are affected by the availability and the quality of the reporting data provided by the firms and are mainly focused onto GHG emissions and resource use",1,,"measurement attenuation: E scores miss risk spectrum, depend on reporting quality"
Apergis et al (2022),counter,,"Lastly, there is an inherent correlation be­ tween the credit ratings and the ESG scores, as ESG considerations are partly incorporated in the calculation of credit ratings.",4,,ratings-subsumption caveat: ESG already partly inside credit ratings
Apergis et al (2022),key_citation,,"From the three components of climate risk (physical, transitional and regulatory), regulatory risk has started to materialize (Krueger et al., 2020), and has become a major channel through which environmental risks get priced in securities.",2,"Krueger et al., 2020",anchor for regulatory climate risk as pricing channel
Apergis et al (2022),key_citation,,Seltzer et al. (2020) using data both from the primary and sec­ ondary bond markets document that climate and other environmental regulatory risks affect corporate bond pricing.,4,Seltzer et al. (2020),anchor for climate regulatory risk in corporate bond pricing
Apergis et al (2022),key_citation,,"Bauer and Hann (2010) explore the effects of environmental scores on bond issue spreads on newly issued bonds(of 582 U.S. public companies across multiple industries between 1995 and 2006), to conclude that environmental concerns are related to higher spreads",4,Bauer and Hann (2010),benchmark anchor: environmental performance and bond issue spreads
Apergis et al (2022),status,,,,,"Energy Economics empirical study of ESG scores and at-issue US bond spreads; theory is discursive prose in intro/literature review, no formal hypotheses; ESG-wide rather than carbon-specific."
"Atif, Ali (2021)",frame_use,OTHER:RBV,"RBT embraces this argument: that a firm's internal strength, along with its corporate strategies, helps to capitalize the benefits for firms in their financial risk management.",3939,,resource-based theory is the paper's declared frame for ESG-default link
"Atif, Ali (2021)",frame_use,SIG,symmetric flow of information increases the availability of debt capital,3938,,"disclosure lowers information asymmetry, raising debt capital supply"
"Atif, Ali (2021)",frame_use,RISK,"acts as an ‘insurance’ for firms, protecting them from default by",3939,,insurance-like risk mitigation via stable cash flows; author's own claim
"Atif, Ali (2021)",frame_use,STAKE,"Therefore, ESG disclosure enhances a firm's ability to create reputation and to enjoy the benefits of such internal strength in its",3939,,reputation/stakeholder-linkage channel feeding financial risk management
"Atif, Ali (2021)",mechanism_extra,,"require less risk premium, which reduces the cost of debt",3948,,"lender-pricing channel: debtholders deem ESG firms safer, lower premium"
"Atif, Ali (2021)",counter,,"Despite the increasing importance of ESG, critics (e.g., Friedman, 1970) have supported the view that businesses exist to make profit, and thus, no social responsibility should be assigned to businesses that incur extra expenses.",3954,,cost-burden/shareholder-only counter view; endnote
"Atif, Ali (2021)",counter,,"This practice may result in ESG performance differing from ESG disclosure (Tashman et al., 2019).",3952,,greenwashing/decoupling: facades make disclosure diverge from performance
"Atif, Ali (2021)",counter,,should be relatively stronger (weaker or insignificant) for firms at mature stage (younger and other stages) of the life cycle.,3938,,conditionality: effect expected weak/insignificant outside mature stage
"Atif, Ali (2021)",key_citation,,"ation between ESG disclosure and default risk. RBT (Barney, 1991)",3937,"Barney, 1991",resource-based theory anchor for the whole argument
"Atif, Ali (2021)",key_citation,,"(Godfrey, 2005). ESG disclosure creates loyalty and trust, as well as",3939,"Godfrey, 2005",moral-capital/insurance anchor for downside protection
"Atif, Ali (2021)",key_citation,,"and reduces the cost of funds (Cheng et al., 2014; El Ghoul",3938,"Cheng et al., 2014",anchor for CSR disclosure lowering cost of funds
"Atif, Ali (2021)",status,,,,,"Business Strategy and the Environment empirical article; RBT-framed ESG disclosure to default risk (US 2006-2017); no Paris/climate-policy theory; two-column dump interleaves columns line-by-line, so contiguous quotes are short."
Attig et al (2025),frame_use,SIG,"In theory, voluntary environmental performance disclosure, albeit discretionary, may reduce information asymmetry about a firm (Grossman and Hart 1980; Verrecchia 1983) resulting in lower cost of external financing (Diamond and Verrecchia 1991).",pdf-4,,canonical disclosure-reduces-asymmetry frame; lower cost of external financing
Attig et al (2025),frame_use,STAKE,"Greater environmental disclosure may also enhance firms' environmental legitimacy (e.g., Berrone, Fosfuri, and Gelabert 2017; Lamin and Zaheer 2012) by projecting a favorable public image of the firm, which might decrease the firms' external financing frictions.",pdf-4,,environmental legitimacy / favorable public image lowers financing frictions
Attig et al (2025),frame_use,RISK,"The enhanced legitimacy and signal of lower environmental risk will likely lead to more stable (future) cash flows and improved ability to pay debt obligations, thereby lowering external debt financing premiums.",pdf-4,,authors' risk channel: lower env risk -> stabler cash flows -> lower debt premium
Attig et al (2025),frame_use,AGENCY,Jensen and Meckling (1976) and Smith and Warner (1979) argue that firms with pronounced agency problems benefit from more stringent debt covenants to mitigate moral hazard issues.,pdf-24,,agency/moral-hazard rationale for stringent covenants; cited theory
Attig et al (2025),mechanism_extra,,"the private debt market primarily operates on relationship lending (e.g., Bharath et al. 2011), granting private lenders (compared to public investors) better abilities to gather and process private information about borrowers (e.g., Fama 1985; James and Smith 2000).",pdf-2,,relationship-lending channel: banks gather private borrower information
Attig et al (2025),mechanism_extra,,"However, given the associated reputational harm and ensuing financial risks to borrowing firms, private lenders have incentives to factor in such behavior to avoid any direct or indirect costs on their loan recovery as well as their reputational capital.",pdf-4,,lender-side channel: borrower reputational harm threatens loan recovery and lender capital
Attig et al (2025),counter,,"When greenwashing behavior is unrelated to such key measures of credit risk, it is unlikely to have an impact on the cost of debt in a pure credit-­risk modeling sense.",pdf-4,,"null argument: if unrelated to default/LGD, no effect in pure credit-risk model"
Attig et al (2025),counter,,"selective environmental disclosure (or greenwashing) can generate positive moral capital among the firm's stakeholders, in turn, providing shareholders with insurance-­like protection for a firm's relationship-­based intangible assets (Godfrey 2005), resulting in favorable financing terms.",pdf-4,,"opposite-sign argument: moral capital gives insurance-like protection, cheaper debt"
Attig et al (2025),key_citation,,"This practice of selective disclosure is akin to greenwashing, a term referring to the selective release of positive information about environmental or social performance to project an overly responsible public image of the firm (Marquis, Toffel, and Zhou 2016).",pdf-7,"Marquis, Toffel, and Zhou 2016","greenwashing/selective-disclosure construct anchor, used throughout"
Attig et al (2025),key_citation,,"For instance, voluntary disclosure of (positive) environmental information could increase the demand for firm securities (Diamond and Verrecchia 1991).",pdf-4,Diamond and Verrecchia 1991,disclosure-cost-of-capital anchor for the lower-financing-cost prediction
Attig et al (2025),key_citation,,"One could argue that selective disclosure might exacerbate asymmetric information (Kim and Verrecchia 1994; Zhang 2001), resulting in higher debt costs.",pdf-4,Kim and Verrecchia 1994,"anchor for core claim: selective disclosure worsens asymmetry, raises debt cost"
Attig et al (2025),status,,,,,"Corporate Governance: An International Review; empirical bank-loan study of selective environmental disclosure (greenwashing) and loan spreads; theory concentrated in Section 2; no printed folios, so pages are pdf-N; no Paris-Agreement or climate-policy claims."
Azmi et al (2021),frame_use,STAKE,"Several researchers note that a stakeholder management approach leads to more efficient contracting (Jones, 1995). Firms that engage in ESG activities indirectly convey their willingness to fulfil stakeholders’ demands and avoid some of the costs attached to strict compliance with formal contractual agreements.",3,,"stakeholder frame: efficient contracting, avoids costs of formal contracts"
Azmi et al (2021),frame_use,SIG,ESG-related activity by banks in these markets could provide stronger signals of the firm’s non-financial information and help reduce information asymmetry between the firm and stakeholders. Increased transparency should be most appealing to minority shareholders and bondholders in emerging markets.,3,,signaling/info-asymmetry frame; explicitly names bondholders in emerging markets
Azmi et al (2021),frame_use,AGENCY,The trade-off view of ESG activity treats ESG as a potentially inefficient use of resources. Funds diverted towards ESG activities might have been used more efficiently by the firm.,3,,trade-off/cost-burden frame: ESG as inefficient resource use
Azmi et al (2021),mechanism_extra,,"ESG activities should reduce conflicts between stakeholders and reduce information asymmetry (Perrini et al., 2011). This expectation is supported by Healy and Palepu (2001), who show firms that engage in ESG activities more face lower monitoring costs.",4,,"monitoring-cost channel to cost of capital; author's own claim, cites Healy-Palepu"
Azmi et al (2021),mechanism_extra,,This reduction of information asymmetry would attract more depositors. Banks with high ESG scores should also have a greater ability keep depositors by making them feel confident about the bank’s trustworthiness and ability to avoid risk.,4,,deposit-funding channel: transparency lets banks retain depositors cheaply
Azmi et al (2021),counter,,"One possible explanation for these results is that bondholders care primarily about the bank’s tail risk, while shareholders place greater importance on the upside potential of ESG activity.",2,,"attenuation: bondholders price tail risk, shareholders upside; author's own"
Azmi et al (2021),counter,,"Moreover, the bondholders can also secure collateral against the debt and restrict certain activities of banks they feel are detrimental to themselves through covenants in the indenture agreement.",11,,"attenuation: collateral and covenants already protect lenders, so ESG unpriced"
Azmi et al (2021),counter,,The lack of a relationship between ESG activity and the cost of debt suggests increased ESG activity does not reduce default risk of banks.,16,,null COD read as ESG not lowering default risk; author's own inference
Azmi et al (2021),key_citation,,"Built on the work of Freeman (1984), the stakeholder view of ESG argues the firm has an ethical obligation to maximize the value of all shareholders (customers, debtors, employees, and regulatory authorities).",3,Freeman (1984),stakeholder theory anchor for the paper's main frame
Azmi et al (2021),key_citation,,"This view argues that managers should maximize the firm’s value and abstain from socially responsible initiatives to make the world a better place (Friedman, 1970).",3,"Friedman, 1970",shareholder/trade-off anchor for the cost-burden counter-theory
Azmi et al (2021),key_citation,,El Ghoul et al. (2011) highlight the negative relationship between sustainability reporting and the cost of capital. This suggests that the ESG should be viewed as a strategic move that eventually translates into improved performance.,4,El Ghoul et al. (2011),cost-of-capital anchor for the ESG-to-financing-cost channel
Azmi et al (2021),status,,,,,"Elsevier JIFMIM empirical paper on banks' own ESG and bank value in 44 emerging markets; framing is stakeholder vs trade-off, not CER->cost of debt. COD is only one of three value channels and is found insignificant, so the COD-relevant theory is thin and mostly attenuation/rationalization. No Paris-Agreement or climate-policy claim anywhere."
Bannier et al (2022),frame_use,RISK,credit risk should therefore be influenced by the fact that strong CSR activities help to insulate firms’ profits against extreme changes in consumer tastes or regulatory interventions due to environmental or societal crises,1,,risk-mitigation frame: CSR insulates profits from regulatory and environmental shocks
Bannier et al (2022),frame_use,STAKE,"Sustainable firm strategies appear particularly effective in reducing extreme equity risks (e.g. Kim et al., 2014; Ilhan et al., 2020), which supports the idea of CSR acting as “moral capital” (Godfrey et al., 2009) insuring firms against stakeholders’ sanctions in case of negative events.",1,,moral-capital / insurance frame against stakeholder sanctions
Bannier et al (2022),frame_use,AGENCY,"The ensuing CSR reputation (Soppe et al., 2011), however, also creates incentives to employ CSR in order to cover up corporate misbehavior (Diemont et al., 2015), which might be linked with agency conflicts (e.g. over- or underinvestment)",1,,cover-up incentive plus agency conflicts as risk-increasing view
Bannier et al (2022),counter,,"As a consequence, credit risk might also increase along with stronger CSR scores.",2,,authors' own claim: agency-driven CSR may raise credit risk
Bannier et al (2022),counter,,"reporting on CSR facets with particularly strong attention levels might lead both equity and debt investors to react either positively or negatively if their expectations are exceeded or disappointed (Benlemlih et al., 2016), with corresponding effects on market-based measures of risk.",2,,expectation-based investor reaction; sign ambiguous for market measures
Bannier et al (2022),mechanism_extra,,"country-specific issues have been shown to be demonstrably important for studying sustainability effects, due to different regulatory standards (Liang and Renneboog, 2017), company disclosure requirements (Hail and Leuz, 2006)",2,,institutional channel: regulation and disclosure condition sustainability effects
Bannier et al (2022),counter,,"one might believe it to be the consequence of agency-based credit ratings that are sticky due to the discrete through-the-cycle rating approach (Löffler, 2004; 2005), further tests demonstrate that the association does not dissipate over time.",5,,"rating stickiness / through-the-cycle raised as attenuation, then rejected"
Bannier et al (2022),paris_policy,,Action 6 of the EU Action Plan calls for “better integrating sustainability in ratings and market research” and the EU has commissioned the European Securities and Markets Authority to assess in how far sustainability issues are already incorporated in credit ratings.,1,,EU Sustainable Finance Action Plan pushes ESG into ratings; regulator-driven claim
Bannier et al (2022),key_citation,,"“moral capital” (Godfrey et al., 2009) insuring firms against stakeholders’ sanctions in case of negative events.",1,"Godfrey et al., 2009",moral-capital / risk-management hypothesis anchor
Bannier et al (2022),key_citation,,"strong CSR activities help to insulate firms’ profits against extreme changes in consumer tastes or regulatory interventions due to environmental or societal crises (e.g. Albu­ querque et al., 2019).",1,"Albuquerque et al., 2019",theory anchor for CSR insulating profits against shocks
Bannier et al (2022),key_citation,,"cover up corporate misbehavior (Diemont et al., 2015), which might be linked with agency conflicts (e.g. over- or underinvestment)",1,"Diemont et al., 2015",downside-of-being-responsible / tail-risk counter anchor
Bannier et al (2022),status,,,,,"Finance Research Letters short paper; explicitly exploratory, authors decline to identify underlying channels; theory confined to introduction."
